,Stock,Number of Trades,Profit,Profit %,Profit Factor
0,ADBE,15.0,-10.24,33.333,0.969
1,ADP,18.0,-188.37,27.778,0.463
2,ABNB,7.0,310.05,57.143,3.623
3,ALGN,17.0,-847.73,17.647,0.068
4,GOOGL,18.0,108.237,38.889,1.524
5,GOOG,16.0,24.558,31.25,1.135
6,AMZN,18.0,-313.662,16.667,0.277
7,AMD,16.0,-410.66,31.25,0.19
8,AEP,15.0,6.18,26.667,1.049
9,AMGN,11.0,264.88,63.636,4.113
10,ADI,13.0,-61.06,46.154,0.744
11,ANSS,23.0,20.35,26.087,1.037
12,AAPL,17.0,-49.798,41.176,0.801
13,AMAT,16.0,-508.49,12.5,0.047
14,ASML,15.0,-143.53,40.0,0.509
15,AZN,13.0,-105.43,15.385,0.434
16,TEAM,21.0,-260.84,33.333,0.588
17,ADSK,19.0,32.79,31.579,1.084
18,BKR,17.0,-181.03,35.294,0.629
19,BIIB,11.0,-11.01,36.364,0.906
20,BKNG,22.0,-57.46,18.182,0.77
21,AVGO,20.0,52.04,30.0,1.17
22,CDNS,12.0,208.78,41.667,2.207
23,CHTR,16.0,-187.13,25.0,0.261
24,CTAS,12.0,194.37,50.0,2.655
25,CSCO,15.0,284.14,60.0,3.067
26,CTSH,16.0,-130.54,43.75,0.523
27,CMCSA,17.0,93.85,41.176,1.479
28,CEG,2.0,-75.66,0.0,0.0
29,CPRT,15.0,-228.235,26.667,0.346
30,CSGP,18.0,-428.006,22.222,0.126
31,COST,17.0,29.6,29.412,1.143
32,CRWD,13.0,291.12,30.769,1.553
33,CSX,14.0,23.123,21.429,1.084
34,DDOG,11.0,-352.67,27.273,0.132
35,DXCM,22.0,-47.487,22.727,0.911
36,FANG,14.0,28.53,50.0,1.055
37,DLTR,22.0,210.96,45.455,1.424
38,EBAY,18.0,-405.98,16.667,0.104
39,EA,12.0,-110.19,16.667,0.551
40,ENPH,13.0,-402.77,15.385,0.369
41,EXC,17.0,0.111,35.294,1.001
42,FAST,17.0,217.265,47.059,1.858
43,FTNT,15.0,-382.906,20.0,0.387
44,GEHC,2.0,-9.24,50.0,0.752
45,GILD,16.0,49.99,37.5,1.338
46,GFS,7.0,3.63,28.571,1.023
47,HON,15.0,102.614,46.667,2.158
48,IDXX,19.0,-24.02,31.579,0.937
49,ILMN,18.0,-47.9,44.444,0.869
50,INTC,15.0,403.86,53.333,2.602
51,INTU,12.0,-318.41,16.667,0.163
52,ISRG,17.0,-246.28,23.529,0.414
53,JD,16.0,-484.0,31.25,0.159
54,KDP,12.0,110.1,50.0,2.095
55,KLAC,20.0,-21.12,25.0,0.968
56,KHC,14.0,-368.935,21.429,0.115
57,LRCX,18.0,-135.55,16.667,0.806
58,LCID,9.0,23.84,22.222,1.084
59,LULU,17.0,421.06,52.941,1.86
60,MAR,19.0,89.92,31.579,1.24
61,MRVL,19.0,-85.96,36.842,0.803
62,MELI,19.0,-1154.97,10.526,0.085
63,META,6.0,-172.31,16.667,0.179
64,MCHP,17.0,-59.415,35.294,0.867
65,MU,22.0,-262.77,22.727,0.592
66,MSFT,17.0,86.58,41.176,1.586
67,MRNA,18.0,300.11,38.889,1.674
68,MDLZ,15.0,-115.08,20.0,0.454
69,MNST,14.0,130.705,35.714,1.75
70,NFLX,19.0,234.25,36.842,1.701
71,NVDA,15.0,-159.272,26.667,0.685
72,NXPI,17.0,-579.9,0.0,0.0
73,ORLY,12.0,85.78,33.333,1.501
74,ODFL,20.0,-318.357,35.0,0.209
75,ON,22.0,-263.73,31.818,0.686
76,PCAR,10.0,202.907,50.0,2.522
77,PANW,12.0,322.823,50.0,2.749
78,PAYX,14.0,47.89,35.714,1.228
79,PYPL,14.0,-160.45,35.714,0.421
80,PDD,11.0,-233.04,27.273,0.349
81,PEP,13.0,89.0,46.154,1.846
82,QCOM,16.0,-164.8,12.5,0.591
83,REGN,13.0,64.53,38.462,1.286
84,ROST,12.0,-129.85,33.333,0.459
85,SGEN,17.0,326.15,52.941,1.989
86,SIRI,15.0,-85.82,33.333,0.738
87,SBUX,16.0,-94.86,31.25,0.585
88,SNPS,14.0,63.4,28.571,1.202
89,TMUS,21.0,42.75,33.333,1.13
90,TSLA,18.0,-307.211,22.222,0.615
91,TXN,19.0,-510.48,0.0,0.0
92,TTD,18.0,-582.908,22.222,0.227
93,VRSK,16.0,-223.62,31.25,0.107
94,VRTX,15.0,53.69,40.0,1.518
95,WBA,12.0,102.31,33.333,1.687
96,WBD,19.0,787.31,42.105,2.857
97,WDAY,21.0,264.65,38.095,1.688
98,XEL,21.0,-55.18,33.333,0.785
99,ZM,11.0,-505.41,18.182,0.239
100,ZS,16.0,213.35,37.5,1.358
