Stock,Belongs,Number of Trades in 4 years,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Last Close
A,.SPX,10,-375.86,0,0,,,,,
AAL,.SPX,12,722.4,41.667,2.55,,,,,
AAP,.SPX,14,-194.13,14.286,0.457,,,,,
AAPL,.DJI.SPX.NDX,12,7.262,50,1.049,26/09,,,,176.08
ABBV,.SPX,10,311.94,60,5.412,,30/09,,12/10,149.34
ABC,.SPX,12,-363.33,8.333,0.046,,,,,
ABNB,.NDX,8,375.94,62.5,4.489,13/09,,21/09,30/08,138.01
ABT,.SPX,11,-21.45,45.455,0.855,,,,,
ACN,.SPX,11,122.22,36.364,1.491,03/11,04/01,05/12,11/01,347.97
ADBE,.SPX.NDX,11,75.55,36.364,1.313,,13/09,,,542.21
ADI,.SPX.NDX,13,65.52,46.154,1.317,,03/01,,18/01,189.97
ADM,.SPX,11,-208.76,18.182,0.361,,,,,
ADP,.SPX.NDX,14,-89.93,35.714,0.644,,,,,
ADSK,.SPX.NDX,12,37.58,25,1.139,02/11,23/11,,,202.66
AEE,.SPX,7,-129.04,0,0,,,,,
AEP,.SPX.NDX,6,27.46,16.667,1.646,,11/01,,,80.4
AES,.SPX,13,-64.44,23.077,0.797,,,,,
AFL,.SPX,11,-167.76,27.273,0.305,,,,,
AIG,.SPX,11,72.75,36.364,1.402,,10/01,,19/01,68.83
AIZ,.SPX,10,262.76,60,5.689,,21/10,,,145.98
AJG,.SPX,8,-51.32,25,0.589,,,,,
AKAM,.SPX,6,-46.02,33.333,0.598,,,,,
ALB,.SPX,13,-134.99,46.154,0.744,,,,,
ALGN,.SPX.NDX,12,-839.32,16.667,0.04,,,,,
ALK,.SPX,12,282.81,50,2.731,,04/12,04/12,30/08,34.08
ALL,.SPX,10,284.73,50,4.017,,,03/08,15/11,131.65
ALLE,.SPX,11,-220.76,27.273,0.294,,,,,
AMAT,.SPX.NDX,10,-142.62,20,0.376,,,,,
AMCR,.SPX,10,-125.19,30,0.426,,,,,
AMD,.SPX.NDX,12,-168.6,41.667,0.364,,,,,
AME,.SPX,15,-228.08,6.667,0.152,,,,,
AMGN,.DJI.SPX.NDX,8,111.8,50,2.006,,03/08,,03/11,266.59
AMP,.SPX,9,438.41,44.444,4.829,,,29/11,,345.54
AMT,.SPX,11,90.23,36.364,1.616,,,19/10,,162.78
AMZN,.SPX.NDX,13,-129.461,30.769,0.61,,,,,
ANET,.SPX,16,393.195,50,2.532,,25/08,,,179.19
ANSS,.SPX.NDX,15,-111.53,26.667,0.737,,,,,
AON,.SPX,20,287.44,50,2.171,19/08,22/11,06/09,10/10,325.93
AOS,.SPX,13,-44.37,38.462,0.855,,,,,
APA,.SPX,10,268.66,50,1.83,,,,,
APD,.SPX,13,100.24,38.462,1.703,,04/08,08/11,15/08,254.46
APH,.SPX,11,-368.48,9.091,0.003,,,,,
APTV,.SPX,9,-285.14,22.222,0.201,,,,,
ARE,.SPX,13,-5.03,38.462,0.964,,,,,
ASML,.NDX,8,16.83,50,1.153,,03/01,,18/01,744.53
ATO,.SPX,6,-58.58,33.333,0.431,,,,,
ATVI,.SPX.NDX,7,-199.7,0,0,,,,,
AVB,.SPX,15,-176.38,26.667,0.503,,,,,
AVGO,.SPX.NDX,18,118.83,27.778,1.51,,04/01,,11/01,1099.98
AVY,.SPX,5,84.47,40,2.521,,,,,
AWK,.SPX,9,346.77,55.556,5.359,,,,,
AXON,.SPX,15,270.59,26.667,2.043,10/08,,18/08,,195.39
AXP,.DJI.SPX,12,-226.5,33.333,0.345,,,,,
AZN,.NDX,7,-130.25,14.286,0.021,,,,,
AZO,.SPX,11,-77.53,9.091,0.374,,,,,
BA,.DJI.SPX,9,578.77,44.444,6.458,,,12/12,,248.63
BAC,.SPX,16,530.72,43.75,3.564,02/11,04/08,28/11,08/08,29.56
BAX,.SPX,7,-16.66,28.571,0.857,,,,,
BBWI,.SPX,14,-153.193,35.714,0.661,,,,,
BBY,.SPX,14,173.07,42.857,1.741,15/11,,12/12,,73.21
BDX,.SPX,11,240.237,45.455,3.455,04/11,03/08,,09/08,258.91
BEN,.SPX,9,103.29,44.444,1.469,31/08,,06/09,,26.13
BG,,7,5.51,14.286,1.038,18/10,05/12,21/10,19/12,105.27
BIIB,.SPX.NDX,6,43.22,50,1.69,04/11,,,,249.5
BIO,.SPX,11,-51.98,27.273,0.771,,,,,
BK,.SPX,11,72.91,45.455,1.541,,,13/10,,41.25
BKNG,.SPX.NDX,18,8.22,11.111,1.07,07/11,23/08,25/11,31/08,3115.59
BKR,.SPX.NDX,13,-151.89,30.769,0.602,,,,,
BLK,.SPX,16,417.95,37.5,2.915,,,05/12,,754.3
BMY,.SPX,9,-128.61,11.111,0.473,,,,,
BR,.SPX,15,220.57,53.333,1.795,03/11,05/01,,10/01,201.97
BRO,.SPX,10,-144.54,20,0.209,,,,,
BSX,.SPX,13,-34.76,23.077,0.855,,,,,
BWA,.SPX,10,-245.634,10,0.282,,,,,
BXP,.SPX,11,0.61,9.091,1.002,15/11,,20/10,,56.69
C,.SPX,12,279.37,41.667,2.328,03/11,,29/11,,44.86
CAG,.SPX,15,102.58,46.667,1.611,11/10,19/12,01/08,02/01,29.53
CAH,.SPX,13,191.58,30.769,2.184,29/08,,,,89.74
CARR,.SPX,11,-282.89,9.091,0.04,,,,,
CAT,.DJI.SPX,17,-38.41,23.529,0.91,,,,,
CB,.SPX,6,-111.15,33.333,0.404,,,,,
CBOE,.SPX,13,-25.3,38.462,0.888,,,,,
CBRE,.SPX,14,53.59,42.857,1.215,,05/01,,,87.05
CCI,.SPX,9,61.58,44.444,1.377,11/10,,19/10,,90.93
CCL,.SPX,11,521.26,45.455,3.666,,,,,
CDAY,.SPX,16,-527.25,25,0.15,,,,,
CDNS,.SPX.NDX,13,52.68,38.462,1.25,24/08,29/12,09/09,10/01,263.26
CDW,.SPX,12,-34.26,33.333,0.847,,,,,
CE,.SPX,10,-101.19,30,0.579,,,,,
CEG,.NDX,2,-75.66,0,0,,,,,
CF,.SPX,16,-309.75,31.25,0.221,,,,,
CFG,.SPX,11,248.28,54.545,3.03,04/11,03/08,28/11,30/08,26.4
CHD,.SPX,9,38.93,33.333,1.445,18/10,,30/10,,90.11
CHRW,.SPX,10,-176.59,40,0.215,,,,,
CHTR,.SPX.NDX,11,-215.2,9.091,0.009,,,,,
CI,.SPX,8,-150.1,12.5,0.146,,,,,
CINF,.SPX,10,-191.32,10,0.075,,,,,
CL,.SPX,13,-5.62,23.077,0.964,,,,,
CLX,.SPX,11,200.61,45.455,3.113,07/11,,29/11,,142.34
CMA,.SPX,9,-224.11,33.333,0.271,,,,,
CMCSA,.SPX.NDX,9,187.86,55.556,3.621,11/10,,20/10,,43.07
