Stock,Belongs,Number of Trades in 4 years,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,,,,,,,,,,,,,,,
AAL,.SPX,12,722.4,41.667,2.55,,,,,,,,,,,,,,,,,,,
ABBV,.SPX,10,311.94,60,5.412,,30/09,,12/10,,,,,,,,,,,,,,,
ABNB,.NDX,8,375.94,62.5,4.489,13/09,,21/09,30/08,,,,,,,,,,,,,,,
AIZ,.SPX,10,262.76,60,5.689,,21/10,,,,,,,,,,,,,,,,,
ALL,.SPX,10,284.73,50,4.017,,,03/08,15/11,,,,,,,,,,,,,,,
AMGN,.DJI.SPX.NDX,8,111.8,50,2.006,,03/08,,03/11,,,,,,,,,,,,,,,
AMP,.SPX,9,438.41,44.444,4.829,,,29/11,,,,,,,,,,,,,,,,
ANET,.SPX,16,393.195,50,2.532,,25/08,,,,,,,,,,,,,,,,,
AON,.SPX,20,287.44,50,2.171,19/08,22/11,06/09,10/10,,,,,,,,,,,,,,,
APA,.SPX,10,268.66,50,1.83,,,,,,,,,,,,,,,,,,,
APD,.SPX,13,100.24,38.462,1.703,,04/08,08/11,15/08,,,,,,,,,,,,,,,
AVGO,.SPX.NDX,17,118.83,29.412,1.51,,04/01,,08/12,,,,,,,,,,,,,,,
AWK,.SPX,9,346.77,55.556,5.359,,,,,,,,,,,,,,,,,,,
AXON,.SPX,15,270.59,26.667,2.043,10/08,,18/08,,,,,,,,,,,,,,,,
BAC,.SPX,16,530.72,43.75,3.564,02/11,04/08,28/11,08/08,,,,,,,,,,,,,,,
BBY,.SPX,14,173.07,42.857,1.741,15/11,,12/12,,,,,,,,,,,,,,,,
BDX,.SPX,11,240.237,45.455,3.455,04/11,03/08,,09/08,,,,,,,,,,,,,,,
BEN,.SPX,9,103.29,44.444,1.469,31/08,,06/09,,,,,,,,,,,,,,,,
BLK,.SPX,16,417.95,37.5,2.915,,,05/12,,,,,,,,,,,,,,,,
BR,.SPX,15,220.57,53.333,1.795,03/11,05/01,,10/01,,,,,,,,,,,,,,,
C,.SPX,12,279.37,41.667,2.328,03/11,,29/11,,,,,,,,,,,,,,,,
CAG,.SPX,15,102.58,46.667,1.611,11/10,19/12,01/08,02/01,,,,,,,,,,,,,,,
CAH,.SPX,13,191.58,30.769,2.184,29/08,,,,,,,,,,,,,,,,,,
CCL,.SPX,11,521.26,45.455,3.666,,,,,,,,,,,,,,,,,,,
CFG,.SPX,11,248.28,54.545,3.03,04/11,03/08,28/11,30/08,,,,,,,,,,,,,,,
