,Stock,Belongs,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL
0,A,.SPX,10.0,-375.86,0.0,0.0,False,False,False,False
1,AAL,.SPX,12.0,722.4,41.667,2.55,False,False,False,False
2,AAP,.SPX,14.0,-194.13,14.286,0.457,False,False,False,False
3,AAPL,.NDX.SPX.DJI,12.0,-11.105,41.667,0.926,False,False,False,False
4,ABBV,.SPX,8.0,296.65,62.5,5.195,False,False,False,False
5,ABC,.SPX,12.0,-363.33,8.333,0.046,False,False,False,False
6,ABNB,.NDX,7.0,310.05,57.143,3.623,False,False,False,False
7,ABT,.SPX,11.0,-21.45,45.455,0.855,False,False,False,False
8,ACGL,.SPX,13.0,-127.77,38.462,0.555,False,True,False,False
9,ACN,.SPX,10.0,113.14,40.0,1.454,False,False,False,False
10,ADBE,.NDX.SPX,11.0,46.72,36.364,1.173,False,False,False,False
11,ADI,.NDX.SPX,10.0,-12.0,50.0,0.939,False,False,False,False
12,ADM,.SPX,11.0,-208.76,18.182,0.361,False,False,False,False
13,ADP,.NDX.SPX,14.0,-89.93,35.714,0.644,False,False,False,False
14,ADSK,.NDX.SPX,13.0,52.33,30.769,1.194,False,False,False,False
15,AEE,.SPX,7.0,-129.04,0.0,0.0,False,False,False,False
16,AEP,.NDX.SPX,5.0,-30.38,0.0,0.0,False,False,False,False
17,AES,.SPX,13.0,-64.44,23.077,0.797,False,False,False,False
18,AFL,.SPX,11.0,-167.76,27.273,0.305,False,False,False,False
19,AIG,.SPX,11.0,64.95,36.364,1.344,False,False,False,False
20,AIZ,.SPX,10.0,249.66,50.0,4.844,False,False,False,False
21,AJG,.SPX,8.0,-51.32,25.0,0.589,False,False,False,False
22,AKAM,.SPX,6.0,-46.02,33.333,0.598,False,False,False,False
23,ALB,.SPX,13.0,-134.99,46.154,0.744,False,False,False,False
24,ALGN,.NDX.SPX,12.0,-839.32,16.667,0.04,False,False,False,False
25,ALK,.SPX,11.0,71.53,45.455,1.438,False,False,False,False
26,ALL,.SPX,8.0,303.4,62.5,8.993,False,False,False,False
27,ALLE,.SPX,11.0,-220.76,27.273,0.294,False,False,False,False
