,,,,,,,,,,,,,,,,,,,,"1,000.00",,,,,,
,No. of Trades in 4 years,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Open,Price,Close,Price,Current,Status,Result,Profit,Selected,Profit Trades,Change,Shares,,Completed trade,Total profit,Profit %,Profit % per month,Winning %
DXCM,16,105.06,25.00,1.31,,2023/7/22,,2023/8/10,22/07,130.6,10/08,110.96,122.17,Completed,Profit,137.48,TRUE,TRUE,-19.64,7.00,,214,9066.07,4.2365,0.825,71.121
CAG,,,,,2023/7/24,,2023/7/31,,24/07,33.26,31/07,32.81,28.66,Completed,Loss,(13.50),,FALSE,-0.45,30.00,,,,,,
CDNS,10,29.92,40.00,1.18,,2023/7/24,,2023/8/21,24/07,241.27,21/08,225,275.82,Completed,Profit,65.08,,TRUE,-16.27,4.00,,,Selected profit,Profit percentage,,Winning %
WRB,11,100.77,27.27,1.67,,2023/7/24,,2023/7/27,24/07,61.32,27/07,61.77,70.21,Completed,Loss,(7.20),,FALSE,0.45,16.00,,,678.63,2.8276,,70.833
DVA,5,74.93,40.00,2.05,,2023/7/25,,2023/8/1,25/07,102.1,01/08,101.99,104.33,Completed,Profit,0.99,,TRUE,-0.11,9.00,,,,,,
MTCH,15,177.39,33.33,1.39,,2023/7/25,,2023/7/31,25/07,45.6,31/07,46.51,35.2,Completed,Loss,(19.11),TRUE,FALSE,0.91,21.00,,,,,,
DGX,15,443.86,60.00,3.94,,2023/7/26,,2023/8/18,26/07,144.92,18/08,132.24,136.74,Completed,Profit,76.08,TRUE,TRUE,-12.68,6.00,,,,,,
D,7,58.15,42.86,1.87,,2023/7/27,,2023/8/25,27/07,54.45,25/08,48.07,46.8,Completed,Profit,114.84,,TRUE,-6.38,18.00,,,,,,
ES,10,24.11,40.00,1.28,,2023/7/27,,2023/8/23,27/07,73.62,23/08,63.87,61.08,Completed,Profit,126.75,,TRUE,-9.75,13.00,,,,,,
EVRG,11,296.91,36.36,3.59,,2023/7/27,,2023/8/22,27/07,61.32,22/08,56.08,51.38,Completed,Profit,83.84,TRUE,TRUE,-5.24,16.00,,,,,,
LHX,9,209.86,55.56,10.73,,2023/7/27,,2023/8/11,27/07,202.56,11/08,186.41,208.49,Completed,Profit,64.60,TRUE,TRUE,-16.15,4.00,,,,,,
OXY,5,635.86,60.00,6.22,,2023/7/27,,2023/7/31,27/07,62.85,31/07,63.13,60.81,Completed,Loss,(4.20),TRUE,FALSE,0.28,15.00,,,,,,
PEG,9,114.54,44.44,2.62,,2023/7/27,,2023/8/16,27/07,64.92,16/08,59.43,60.65,Completed,Profit,82.35,TRUE,TRUE,-5.49,15.00,,,,,,
ECL,8,75.36,50.00,3.19,,2023/7/28,,2023/8/8,28/07,183.83,08/08,184.51,197.62,Completed,Loss,(3.40),,FALSE,0.68,5.00,,,,,,
EXC,12,23.16,33.33,1.13,,2023/7/28,,2023/8/22,28/07,41.96,22/08,39.74,35.26,Completed,Profit,51.06,,TRUE,-2.22,23.00,,,,,,
FE,15,79.98,33.33,1.56,,2023/7/28,,2023/8/11,28/07,39.24,11/08,36.3,36.23,Completed,Profit,73.50,,TRUE,-2.94,25.00,,,,,,
GL,14,77.58,21.43,1.30,,2023/7/28,,2023/8/2,28/07,111.13,02/08,112.57,121.59,Completed,Loss,(11.52),,FALSE,1.44,8.00,,,,,,
MS,10,222.96,20.00,2.12,,2023/7/28,,2023/8/22,28/07,92.75,22/08,84.25,92.41,Completed,Profit,85.00,,TRUE,-8.5,10.00,,,,,,
EMN,13,248.03,53.85,3.28,,2023/7/31,,2023/8/10,31/07,85.58,10/08,84.37,89.73,Completed,Profit,13.31,TRUE,TRUE,-1.21,11.00,,,,,,
IFF,11,58.04,45.46,1.43,,2023/7/31,,2023/8/22,31/07,84.61,22/08,64.57,80.7,Completed,Profit,220.44,,TRUE,-20.04,11.00,,,,,,
JKHY,7,32.79,28.57,1.34,,2023/7/31,,2023/8/1,31/07,167.57,01/08,167.57,165.08,Completed,Loss,0.00,,FALSE,0,5.00,,,,,,
JNJ,8,94.10,62.50,3.94,,2023/7/31,,2023/8/7,31/07,167.53,07/08,173.1,155.46,Completed,Loss,(27.85),,FALSE,5.57,5.00,,,,,,
