,Stock,Belongs,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL
0,AXON,.SPX,13.0,310.14,30.769,2.41,1.0,0.0,0.0,0.0
1,CAG,.SPX,13.0,146.32,53.846,2.18,0.0,0.0,1.0,0.0
2,CSCO,.NDX.SPX.DJI,10.0,93.9,60.0,1.981,0.0,1.0,0.0,0.0
3,EMN,.SPX,12.0,248.03,58.333,3.281,0.0,1.0,0.0,0.0
4,GFS,.NDX,7.0,3.63,28.571,1.023,0.0,0.0,0.0,1.0
5,IFF,.SPX,11.0,58.04,45.455,1.426,0.0,1.0,0.0,0.0
6,JKHY,.SPX,6.0,32.79,33.333,1.339,0.0,1.0,0.0,0.0
7,JNJ,.SPX.DJI,8.0,94.1,62.5,3.937,0.0,1.0,0.0,0.0
8,MTCH,.SPX,15.0,177.385,33.333,1.386,0.0,0.0,0.0,1.0
9,NWS,.SPX,10.0,155.56,10.0,1.908,0.0,0.0,0.0,1.0
10,PEP,.NDX.SPX,8.0,95.79,50.0,2.758,0.0,1.0,0.0,0.0
11,WAT,.SPX,11.0,411.01,54.545,3.885,0.0,1.0,0.0,0.0
