,Stock,Belongs,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Last Close
0,ALL,.SPX,8.0,303.4,62.5,8.993,0.0,0.0,1.0,0.0,106.51
1,AMGN,.NDX.SPX.DJI,6.0,163.28,66.667,3.738,0.0,1.0,0.0,0.0,230.41
2,AXON,.SPX,14.0,310.14,28.571,2.41,0.0,0.0,1.0,0.0,178.02
3,BDX,.SPX,11.0,240.087,45.455,3.45,0.0,1.0,0.0,0.0,276.24
4,CFG,.SPX,8.0,200.98,62.5,3.462,0.0,1.0,0.0,0.0,31.05
5,DIS,.SPX.DJI,11.0,120.55,27.273,1.66,0.0,0.0,1.0,0.0,86.3
6,DVN,.SPX,7.0,257.38,28.571,3.065,0.0,1.0,0.0,0.0,49.74
7,GL,.SPX,14.0,77.58,21.429,1.301,0.0,0.0,0.0,1.0,113.43
8,PAYC,.SPX,12.0,131.94,33.333,1.553,0.0,1.0,0.0,0.0,299.62
9,VRTX,.NDX.SPX,12.0,13.75,41.667,1.121,0.0,0.0,0.0,1.0,358.4
10,WAT,.SPX,12.0,411.01,50.0,3.885,0.0,0.0,0.0,1.0,291.77
