,Stock,Belongs,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Last Close
0,BBY,.SPX,12,197.37,50.0,1.943,True,False,False,False,67.19
1,BDX,.SPX,11,240.237,45.455,3.455,True,False,False,False,258.91
2,BIIB,.NDX.SPX,6,43.22,50.0,1.69,True,False,False,False,249.5
3,CFG,.SPX,10,248.28,60.0,3.03,True,False,False,False,26.17
4,CMI,.SPX,11,239.51,45.455,2.412,True,False,False,False,225.88
5,CSCO,.NDX.SPX.DJI,11,72.81,54.545,1.624,True,False,False,False,53.01
6,EXPE,.SPX,9,190.02,33.333,1.749,True,False,False,False,112.71
7,IDXX,.NDX.SPX,15,86.63,46.667,1.311,True,False,False,False,429.3
8,INVH,.SPX,17,160.48,47.059,1.63,True,False,False,False,31.97
9,KEYS,.SPX,5,60.66,60.0,1.856,True,False,False,False,125.76
10,PPG,.SPX,14,159.96,50.0,1.676,True,False,False,False,128.31
11,PSA,.SPX,10,220.57,40.0,3.069,True,False,False,False,253.26
12,SGEN,.NDX,13,153.86,38.462,1.602,False,False,False,True,215.0
13,UPS,.SPX,9,26.61,44.444,1.217,True,False,False,False,142.86
14,ZS,.NDX,12,454.59,41.667,2.305,False,False,False,True,164.37
